case_id,hh_f11,hh_f11_oth,hh_f12,hh_f19,hh_f25,hh_f26a,hh_f26b,ea_lat_mod,ea_lon_mod,Air circulation,Air conditioner,Iron,Radio,Refrigerator,Television,Washing machine,Electricity,region,reside,hh_wgt,Number of household members,Wealth index factor score for urban/rural (5 decimals),Type of place of residence,Household sample weight (6 decimals),Energy Use
101011050094,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.78184986114502,33.3635101318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,71.385432453,7,-33051.0,2.0,71385432,0.0
101011050106,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.78184986114502,33.3635101318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,71.385432453,8,-109588.0,2.0,71385432,0.0
101011060024,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,7,137255.0,2.0,113849850,0.0
101011060059,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,7,-42581.0,2.0,113849850,0.0
101011060095,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,6,-109588.0,2.0,113849850,0.0
101011060131,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,6,353188.0,2.0,113849850,0.0
101011060135,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,2,4784.0,2.0,113849850,0.0
101011060155,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,7,71791.0,2.0,113849850,0.0
101011060160,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,3,-33051.0,2.0,113849850,0.0
101011060169,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,2,-33051.0,2.0,113849850,0.0
101011060175,OTHER(SPECIFY),,COLLECTED FIREWOOD,NO,,,,-9.84584999084473,33.4064903259277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.8498497805,5,4784.0,2.0,113849850,0.0
101021070007,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.51432037353516,33.2206001281738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,127.1074057955,3,296859.0,2.0,127107406,0.0
101021070064,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.51432037353516,33.2206001281738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,127.1074057955,1,75081.0,2.0,127107406,2.2973967099940698
101021070127,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.51432037353516,33.2206001281738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,127.1074057955,5,137255.0,2.0,127107406,0.0
101021070157,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.51432037353516,33.2206001281738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,127.1074057955,6,284049.0,2.0,127107406,0.0
101021070182,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.51432037353516,33.2206001281738,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,North,rural,127.1074057955,5,490492.0,2.0,127107406,8.746896591546225
101021070235,OTHER(SPECIFY),,COLLECTED FIREWOOD,NO,,,,-9.51432037353516,33.2206001281738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,127.1074057955,1,-33051.0,2.0,127107406,0.0
101021070248,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.51432037353516,33.2206001281738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,127.1074057955,2,-16991.0,2.0,127107406,0.0
101021070265,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.51432037353516,33.2206001281738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,127.1074057955,6,137255.0,2.0,127107406,0.0
101021080004,COLLECTED FIREWOOD,,COLLECTED FIREWOOD,NO,,,,-9.52412033081055,33.2785797119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,131.1824860885,4,198548.0,2.0,131182486,0.0
101021080060,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.52412033081055,33.2785797119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,131.1824860885,2,4784.0,2.0,131182486,0.0
101021080078,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.52412033081055,33.2785797119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,131.1824860885,3,-33051.0,2.0,131182486,0.0
101021080085,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.52412033081055,33.2785797119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,131.1824860885,8,318634.0,2.0,131182486,0.0
101021080107,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.52412033081055,33.2785797119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,131.1824860885,2,-109588.0,2.0,131182486,0.0
101021080112,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.52412033081055,33.2785797119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,131.1824860885,3,198548.0,2.0,131182486,0.0
101021080140,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.52412033081055,33.2785797119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,131.1824860885,3,300109.0,2.0,131182486,0.0
101021080200,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.52412033081055,33.2785797119141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,131.1824860885,4,251627.0,2.0,131182486,0.0
101021090025,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.54561042785645,33.286491394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,159.8315348305,3,-29801.0,2.0,159831535,0.0
101021090043,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.54561042785645,33.286491394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,159.8315348305,3,182488.0,2.0,159831535,0.0
101021090052,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.54561042785645,33.286491394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,159.8315348305,7,229852.0,2.0,159831535,0.0
101021090061,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.54561042785645,33.286491394043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,159.8315348305,4,-61065.0,2.0,159831535,4.0
101021090079,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.54561042785645,33.286491394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,159.8315348305,5,131541.0,2.0,159831535,0.0
101021090117,ELECTRICITY,,COLLECTED FIREWOOD,NO,,,,-9.54561042785645,33.286491394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,159.8315348305,8,50016.0,2.0,159831535,0.0
101021090126,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.54561042785645,33.286491394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,159.8315348305,5,251627.0,2.0,159831535,0.0
101021100019,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,111.249646977,5,53306.0,2.0,111249647,4.3734482957731124
