,HH_urban,HH_rural,HH_total,totalBuildings,urbanBuildings,ruralBuildings,shareRuralBuild,shareUrbanBuild,shareUrbanResBui,shareRuralResBui,resUrbanBui,resRuralBui,resTotalBui,nbOfHHperResBui_average,HHwithAccess_urb,HHwithAccess_rur,HHwithAccess,HHwithAccess_urb_wostatus,HHwithAccess_rur_wostatus,HHwithAccess_wostatus,accessRateHH,accessRateHH_urban,accessRateHH_rural
Lilongwe,230266.0,384902.0,615168.0,1303649.0,385576.0,918073.0,0.7042332713790291,0.2957667286209708,0.5429091210882608,0.4192498853577003,209332.72727272726,384902.0,594234.7272727273,1.0352272793334498,192913.38397824185,98692.47369141782,291605.85766965966,228908.40043915168,105707.65573882169,334616.05617797334,0.4740263759975481,0.8377849269029811,0.25640935534608245
Machinga,5627.0,158549.0,164176.0,380240.0,47907.0,332333.0,0.8740085209341468,0.12599147906585315,0.10677885372606394,0.4770787132183683,5115.454545454545,158549.0,163664.45454545456,1.0031255745541459,596.8268344125496,23065.4995687205,23662.32640313305,2686.4696080210615,27546.95161797633,30233.42122599739,0.14412780432665584,0.10606483639817836,0.1454786821028231
Mangochi,15070.0,237802.0,252872.0,638207.0,35603.0,602604.0,0.9442140246033027,0.05578597539669731,0.38479903378928737,0.39462399851311974,13699.999999999998,237802.0,251502.0,1.0054472727851071,9207.531415078323,54010.669018600915,63218.20043367924,12571.947161070013,58236.09356114974,70808.04072221975,0.25000079262899505,0.610984168220194,0.22712453645722455
Mchinji,6269.0,128530.0,134799.0,321636.0,0.0,321636.0,1.0,0.0,inf,0.39961322737504507,,128530.0,,,0.0,23965.125584136873,23965.125584136873,0.0,26420.71244160051,26420.71244160051,0.17778414961636863,0.0,0.18645550131593303
Mulanje,3460.0,156687.0,160147.0,357546.0,85888.0,271658.0,0.7597847549685914,0.24021524503140854,0.0366227475951768,0.5767803635453401,3145.454545454545,156687.0,159832.45454545456,1.0019679698684474,301.5563307396424,41066.56936318587,41368.12569392551,1268.33676357093,43788.09618625942,45056.43294983035,0.25831346009557166,0.08715500888428972,0.2620930221600124
Mwanza,4180.0,26165.0,30345.0,71514.0,0.0,71514.0,1.0,0.0,inf,0.36587241658975866,,26165.0,,,0.0,8423.390559796115,8423.390559796115,0.0,8891.08866013419,8891.08866013419,0.277587429882884,0.0,0.32193352034382244
Mzimba,55010.0,190744.0,245754.0,773404.0,104835.0,668569.0,0.864449886475891,0.135550113524109,0.47702666961502266,0.28530189105387777,50009.0909090909,190744.0,240753.09090909088,1.0207719413778886,44599.20564654508,23697.820625004893,68297.02627154997,54271.30809994037,28009.42112040605,82280.72922034642,0.2779080961919235,0.810747239529996,0.12423887841821968
Neno,520.0,30970.0,31490.0,98305.0,0.0,98305.0,1.0,0.0,inf,0.3150399267585576,,30970.000000000004,,,0.0,8152.303969179064,8152.303969179064,0.0,8716.66963082689,8716.66963082689,0.2588854864775822,0.0,0.2632322883170508
Nkhata Bay,2610.0,49446.0,52056.0,147944.0,5682.0,142262.0,0.9615935759476558,0.03840642405234413,0.4175866372276087,0.34756997652219146,2372.7272727272725,49446.0,51818.72727272727,1.0045788991694824,1868.0657978110748,12076.657702499688,13944.723500310763,2534.4476754485163,13253.933663506008,15788.381338954525,0.2678792742490926,0.7157340221498371,0.2442393257796321
Nkhotakota,5763.0,74136.0,79899.0,216329.0,18940.0,197389.0,0.9124481692237286,0.08755183077627132,0.2766151483152539,0.37558323918759406,5239.090909090909,74136.0,79375.09090909091,1.0066004219322298,3425.9214789797097,14272.546073717698,17698.467552697406,5007.075962761271,16084.229915770506,21091.305878531777,0.22151050141675624,0.5944684155786413,0.1925184265905592
Nsanje,5740.0,58232.0,63972.0,145406.0,25872.0,119534.0,0.8220706160681127,0.17792938393188726,0.2016922471467926,0.48715846537386853,5218.181818181818,58232.0,63450.181818181816,1.008224061253496,3196.1812983451955,12903.765396198558,16099.946694543754,4513.446794007685,13875.090435222715,18388.537229230402,0.2516717735031538,0.5568260101646682,0.2215923443501607
Ntcheu,4991.0,149983.0,154974.0,407977.0,0.0,407977.0,1.0,0.0,inf,0.36762611617811786,,149983.0,,,0.0,22961.13147800394,22961.13147800394,0.0,26233.685561091654,26233.685561091654,0.14816118496008324,0.0,0.1530915602301857
Ntchisi,2086.0,68587.0,70673.0,239822.0,0.0,239822.0,1.0,0.0,inf,0.28599127686367387,,68587.0,,,0.0,7000.552556741793,7000.552556741793,0.0,8984.280565411267,8984.280565411267,0.0990555453531305,0.0,0.10206821346234407
Phalombe,1437.0,97411.0,98848.0,250319.0,168644.0,81675.0,0.32628366204722775,0.6737163379527723,0.007746279952821542,1.1926660544842362,1306.3636363636363,97411.0,98717.36363636363,1.0013233372410306,0.0,4063.709350250487,4063.709350250487,270.3117891531216,6793.772595163655,7064.084384316777,0.04111068863558683,0.0,0.041717150529719305
Rumphi,4591.0,42469.0,47060.0,141152.0,0.0,141152.0,1.0,0.0,inf,0.300874234867377,,42469.0,,,0.0,11298.419383009164,11298.419383009164,0.0,11887.23229276188,11887.23229276188,0.2400854097537009,0.0,0.26603921408578407
